algorithm,vocab_size,avg_compression,avg_fertility,avg_tokens
bpe,32000,3.4582,1.3588,6078.0
bpe,64000,3.5365,1.3287,5942.5
bpe,80000,3.5784,1.3129,5868.5
bpe,128000,3.6083,1.302,5819.5
wordpiece,32000,3.5063,1.3401,5993.5
wordpiece,64000,3.5867,1.3101,5859.0
wordpiece,80000,3.6247,1.2962,5794.0
wordpiece,128000,3.6636,1.2823,5730.5
sentencepiece,32000,3.1921,1.4715,6570.5
sentencepiece,64000,3.2886,1.4282,6368.5
sentencepiece,80000,3.3049,1.4212,6338.0
sentencepiece,128000,3.3338,1.4089,6283.0
